"cluster","position"
"Cd34","000000"
"Ndnf Car4","0000010"
"Ndnf Cxcl14","0000011"
"Vip Gpc3","0000100"
"Vip Chat","0000101"
"Vip Cxcl14_Car4","00001100"
"Vip Mybpc1","00001101"
"Vip Sncg","0000111"
"Sncg","0001"
"Sst Chodl","001000"
"Sst Cdk6","001001000"
"Sst Cbln4","0010010010"
"Sst Myh8","0010010011"
"Sst Tacstd2","00100101"
"Sst Th","0010011"
"Pvalb Cpne5","001010"
"Pvalb Tpbg","0010110"
"Pvalb Gpx3","001011100"
"Pvalb Rspo2","0010111010"
"Pvalb Wt1","0010111011"
"Pvalb Obox3","001011110"
"Pvalb Tacr3","001011111"
"Igtp","0011"
"L2 Ngb","01000"
"L2/3 Otof","01001"
"L4 Sparcl1","0101000"
"L4 Scnn1a","0101001"
"L4 Arf5","010101"
"L4 Hsd11b1","01011"
"L5a Fam5c","0110000"
"L5a Syt17","01100010"
"L5a Batf3","01100011"
"L5 Ucma","011001"
"L5b Samd3","0110100"
"L5b Cdh13","0110101"
"L5 Chrna6","011011"
"L6a Mgp","0111000"
"L6a Plcxd3","0111001"
"L6a Car12","0111010"
"L6a Syt17","0111011"
"L6b Trh","011110"
"L6b Mup5","011111"
"Astro Gja1","100"
"OPC Pdgfra","1010"
"OPC/Oligo","10110"
"Oligo Opalin","10111"
"Micro Ctss","110"
"Endo Tbc1d4","1110"
"Endo Myl9","1111"

