"cell_id","major_dissection","layer_dissection","cell_short_name","cluster_id","cluster_name","cre_line","major_class","cluster_order","cluster_color","layer_dissection_color","cre_line_color","major_category_color","cluster_type","cell_order"
"A01101401","V1","All","A200_V",1,"Vip Mybpc1","Calb2 All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",1
"A12101408","V1","All","A1609_V",1,"Vip Mybpc1","Calb2 All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",2
"A12101424","V1","upper","A1625_VU",1,"Vip Mybpc1","Calb2 upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",3
"A12101427","V1","upper","A1628_VU",1,"Vip Mybpc1","Calb2 upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",4
"A12101438","V1","lower","A1639_VL",1,"Vip Mybpc1","Calb2 lower","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",5
"A12101443","V1","lower","A1644_VL",1,"Vip Mybpc1","Calb2 lower","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",6
"D09121439","V1","All","D1312_V",1,"Vip Mybpc1","Gad2 All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",7
"H08041427","V1","All","H1032_V",1,"Vip Mybpc1","Htr3a All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",8
"H08041434","V1","All","H1039_V",1,"Vip Mybpc1","Htr3a All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",9
"H08041441","V1","All","H1046_V",1,"Vip Mybpc1","Htr3a All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",10
"H08041442","V1","All","H1047_V",1,"Vip Mybpc1","Htr3a All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",11
"H08041445","V1","All","H1050_V",1,"Vip Mybpc1","Htr3a All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",12
"H08051402","V1","upper","H1100_VU",1,"Vip Mybpc1","Htr3a upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",13
"H08051404","V1","upper","H1102_VU",1,"Vip Mybpc1","Htr3a upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",14
"H08051408","V1","upper","H1106_VU",1,"Vip Mybpc1","Htr3a upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",15
"H08051420","V1","upper","H1118_VU",1,"Vip Mybpc1","Htr3a upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",16
"H08051429","V1","lower","H1127_VL",1,"Vip Mybpc1","Htr3a lower","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",17
"P12081426","V1","All","P1533_V",1,"Vip Mybpc1","PvalbD-Slc32a1 All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",18
"V07071409","V1","upper","V742_VU",1,"Vip Mybpc1","Vip upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",19
"V07071411","V1","upper","V744_VU",1,"Vip Mybpc1","Vip upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",20
"V07071415","V1","upper","V748_VU",1,"Vip Mybpc1","Vip upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",21
"V07071422","V1","upper","V755_VU",1,"Vip Mybpc1","Vip upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",22
"V07211405","V1","All","V986_V",1,"Vip Mybpc1","Vip All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",23
"V07211413","V1","All","V994_V",1,"Vip Mybpc1","Vip All","Inhibitory",7,"BB36BF","000000","#000000","000000","Core",24
"A12101421","V1","upper","A1622_VU",1,"Vip Mybpc1","Calb2 upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Transition",25
"D09111402","V1","All","D1230_V",1,"Vip Mybpc1","Gad2 All","Inhibitory",7,"BB36BF","000000","#000000","000000","Transition",26
"H08041421","V1","All","H1026_V",1,"Vip Mybpc1","Htr3a All","Inhibitory",7,"BB36BF","000000","#000000","000000","Transition",27
"V07071421","V1","upper","V754_VU",1,"Vip Mybpc1","Vip upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Transition",28
"V07071423","V1","upper","V756_VU",1,"Vip Mybpc1","Vip upper","Inhibitory",7,"BB36BF","000000","#000000","000000","Transition",29
"A01101402","V1","All","A201_V",2,"Vip Cxcl14_Car4","Calb2 All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",30
"A01101405","V1","All","A204_V",2,"Vip Cxcl14_Car4","Calb2 All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",31
"A02271439","V1","All","A278_V",2,"Vip Cxcl14_Car4","Calb2 All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",32
"A12101436","V1","lower","A1637_VL",2,"Vip Cxcl14_Car4","Calb2 lower","Inhibitory",6,"C994C7","000000","#000000","000000","Core",33
"A12101439","V1","lower","A1640_VL",2,"Vip Cxcl14_Car4","Calb2 lower","Inhibitory",6,"C994C7","000000","#000000","000000","Core",34
"A12101440","V1","lower","A1641_VL",2,"Vip Cxcl14_Car4","Calb2 lower","Inhibitory",6,"C994C7","000000","#000000","000000","Core",35
"A12101441","V1","lower","A1642_VL",2,"Vip Cxcl14_Car4","Calb2 lower","Inhibitory",6,"C994C7","000000","#000000","000000","Core",36
"D09111408","V1","All","D1236_V",2,"Vip Cxcl14_Car4","Gad2 All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",37
"D10011407","V1","All","D1328_V",2,"Vip Cxcl14_Car4","Gad2 All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",38
"H08041406","V1","All","H1011_V",2,"Vip Cxcl14_Car4","Htr3a All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",39
"H08041413","V1","All","H1018_V",2,"Vip Cxcl14_Car4","Htr3a All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",40
"H08041414","V1","All","H1019_V",2,"Vip Cxcl14_Car4","Htr3a All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",41
"H08041423","V1","All","H1028_V",2,"Vip Cxcl14_Car4","Htr3a All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",42
"H08041425","V1","All","H1030_V",2,"Vip Cxcl14_Car4","Htr3a All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",43
"H08041439","V1","All","H1044_V",2,"Vip Cxcl14_Car4","Htr3a All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",44
"H08041447","V1","All","H1052_V",2,"Vip Cxcl14_Car4","Htr3a All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",45
"H08041448","V1","All","H1053_V",2,"Vip Cxcl14_Car4","Htr3a All","Inhibitory",6,"C994C7","000000","#000000","000000","Core",46
