"cluster_id","color","r","g","b","cluster_name","cluster_order","major_category","major_category_color"
9,"#FDDCFF",253,220,255,"Cd34",1,"","#FDDCFF"
6,"#F08080",240,128,128,"Ndnf Car4",2,"","#F08080"
7,"#CD6090",205,96,144,"Ndnf Cxcl14",3,"","#CD6090"
5,"#8C6BB1",140,107,177,"Vip Gpc3",4,"","#8C6BB1"
4,"#F800FF",248,0,255,"Vip Chat",5,"","#F800FF"
2,"#C994C7",201,148,199,"Vip Cxcl14_Car4",6,"","#C994C7"
1,"#BB36BF",187,54,191,"Vip Mybpc1",7,"","#BB36BF"
3,"#9400E2",148,0,226,"Vip Sncg",8,"","#9400E2"
10,"#8800FF",136,0,255,"Sncg",9,"","#8800FF"
16,"#FFFF00",255,255,0,"Sst Chodl",10,"","#FFFF00"
14,"#FFA500",255,165,0,"Sst Cdk6",11,"","#FFA500"
11,"#FFD700",255,215,0,"Sst Cbln4",12,"","#FFD700"
13,"#E54E03",229,78,3,"Sst Myh8",13,"","#E54E03"
15,"#8E170E",142,23,14,"Sst Tacstd2",14,"","#8E170E"
12,"#FF8C00",255,140,0,"Sst Th",15,"","#FF8C00"
19,"#FF6A6A",255,106,106,"Pvalb Cpne5",16,"","#FF6A6A"
18,"#FF3030",255,48,48,"Pvalb Tpbg",17,"","#FF3030"
17,"#CD2626",205,38,38,"Pvalb Gpx3",18,"","#CD2626"
21,"#CE1256",206,18,86,"Pvalb Rspo2",19,"","#CE1256"
22,"#EE2C2C",238,44,44,"Pvalb Wt1",20,"","#EE2C2C"
23,"#F99EB4",249,158,180,"Pvalb Obox3",21,"","#F99EB4"
20,"#E7298A",231,41,138,"Pvalb Tacr3",22,"","#E7298A"
8,"#C77963",199,121,99,"Igtp",23,"","#C77963"
29,"#CEFF00",206,255,0,"L2 Ngb",24,"","#CEFF00"
28,"#D9F0A3",217,240,163,"L2/3 Otof",25,"","#D9F0A3"
24,"#00FFFF",0,255,255,"L4 Sparcl1",26,"","#00FFFF"
25,"#00B7FF",0,183,255,"L4 Scnn1a",27,"","#00B7FF"
27,"#0094C2",0,148,194,"L4 Arf5",28,"","#0094C2"
26,"#21F4CC",33,244,204,"L4 Hsd11b1",29,"","#21F4CC"
30,"#A6E2A3",166,226,163,"L5a Fam5c",30,"","#A6E2A3"
31,"#579D53",87,157,83,"L5a Syt17",31,"","#579D53"
32,"#74D16F",116,209,111,"L5a Batf3",32,"","#74D16F"
33,"#0DFF00",13,255,0,"L5 Ucma",33,"","#0DFF00"
41,"#104F00",16,79,0,"L5b Samd3",34,"","#104F00"
42,"#007500",0,117,0,"L5b Cdh13",35,"","#007500"
40,"#0640FF",6,64,255,"L5 Chrna6",36,"","#0640FF"
38,"#74A9CF",116,169,207,"L6a Mgp",37,"","#74A9CF"
39,"#5F79C4",95,121,196,"L6a Plcxd3",38,"","#5F79C4"
34,"#A1990F",161,153,15,"L6a Car12",39,"","#A1990F"
35,"#ADBF00",173,191,0,"L6a Syt17",40,"","#ADBF00"
36,"#8D72D1",141,114,209,"L6b Trh",41,"","#8D72D1"
37,"#6B03FF",107,3,255,"L6b Mup5",42,"","#6B03FF"
43,"#C8C8C8",200,200,200,"Astro Gja1",43,"","#C8C8C8"
44,"#A0A0A0",160,160,160,"OPC Pdgfra",44,"","#A0A0A0"
45,"#787878",120,120,120,"OPC/Oligo",45,"","#787878"
46,"#505050",80,80,80,"Oligo Opalin",46,"","#505050"
47,"#282828",40,40,40,"Micro Ctss",47,"","#282828"
48,"#B28D9A",178,141,154,"Endo Tbc1d4",48,"","#B28D9A"
49,"#7F5564",127,85,100,"Endo Myl9",49,"","#7F5564"
