"cre_label","dissection_label","area_of_dissection","subregion_dissection","driver_1","driver_2","reporter","cells_collected","cre_name","originating_lab","public_repository","stock_number","institute_link","conn_institute_link","ctdb_institute_link","line2_originating_lab","line2_public_repository","line2_stock_number","line2_institute_link","line2_conn_institute_link","line2_ctdb_institute_link","reporter_name","reporter_label","reporter_origininating_lab","reporter_primary_reference","reporter_generation_method","reporter_geneomic_locus","reporter_public_repository","reporter_stock_number","reporter_strain_name","cre_line_order","driver_2_cre_name"
"Ndnf","L1","VISp","Layer 1","Ndnf","none","Ai14","tdT+","Ndnf-IRES2-dgCre","Allen Institute for Brain Science","N/A","N/A","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ndnf-IRES2-dgCre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",1,""
"Ndnf Neg","L1","VISp","Layer 1","Ndnf","none","Ai14","tdT-","Ndnf-IRES2-dgCre","Allen Institute for Brain Science","N/A","N/A","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ndnf-IRES2-dgCre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",1,""
"Htr3a","all","VISp","All layers","Htr3a","none","Ai14","tdT+","Htr3a-Cre_NO152","Nathaniel Heintz and Charles Gerfen ","MMRRC","036680","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Htr3a-Cre_NO152","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=298341195","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Htr3a-Cre_NO152"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",2,""
"Htr3a","upper","VISp","Layers 1-4","Htr3a","none","Ai14","tdT+","Htr3a-Cre_NO152","Nathaniel Heintz and Charles Gerfen ","MMRRC","036680","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Htr3a-Cre_NO152","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=298341195","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Htr3a-Cre_NO152"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",3,""
"Htr3a","lower","VISp","Layers 5-6","Htr3a","none","Ai14","tdT+","Htr3a-Cre_NO152","Nathaniel Heintz and Charles Gerfen ","MMRRC","036680","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Htr3a-Cre_NO152","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=298341195","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Htr3a-Cre_NO152"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",4,""
"Htr3a","L6b","VISp","Layer 6b","Htr3a","none","Ai14","tdT+","Htr3a-Cre_NO152","Nathaniel Heintz and Charles Gerfen ","MMRRC","036680","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Htr3a-Cre_NO152","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=298341195","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Htr3a-Cre_NO152"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",5,""
"Vip","all","VISp","All layers","Vip","none","Ai14","tdT+","Vip-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010908","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Vip-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838622","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",6,""
"Vip","upper","VISp","Layers 1-4","Vip","none","Ai14","tdT+","Vip-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010908","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Vip-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838622","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",7,""
"Vip","lower","VISp","Layers 5-6","Vip","none","Ai14","tdT+","Vip-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010908","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Vip-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838622","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",8,""
"Calb2","all","VISp","All layers","Calb2","none","Ai14","tdT+","Calb2-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010774","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Calb2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837281","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",9,""
"Calb2","upper","VISp","Layers 1-4","Calb2","none","Ai14","tdT+","Calb2-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010774","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Calb2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837281","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",10,""
"Calb2","lower","VISp","Layers 5-6","Calb2","none","Ai14","tdT+","Calb2-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010774","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Calb2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837281","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",11,""
"Chat","all","VISp","All layers","Chat","none","Ai14","tdT+","Chat-IRES-Cre","Bradford Lowell","The Jackson Laboratory","006410","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Chat-IRES-Cre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",12,""
"Nos1","all","VISp","All layers","Nos1","none","Ai14","tdT+","Nos1-CreERT2","Z. Josh Huang","The Jackson Laboratory","014541","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Nos1-CreERT2","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177839406","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",13,""
"Sst","all","VISp","All layers","Sst","none","Ai14","tdT+","Sst-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","013044","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Sst-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838710","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Sst-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",14,""
"Sst","upper","VISp","Layers 1-4","Sst","none","Ai14","tdT+","Sst-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","013044","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Sst-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838710","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Sst-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",15,""
"Sst","lower","VISp","Layers 5-6","Sst","none","Ai14","tdT+","Sst-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","013044","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Sst-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838710","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Sst-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",16,""
"Chrna2","all","VISp","All layers","Chrna2","none","Ai14","tdT+","Chrna2-Cre_OE25","Nathaniel Heintz and Charles Gerfen","MMRRC","036502","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Chrna2-Cre_OE25","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=182693192","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",17,""
